cluster,total length [bp],number of reads,Genome proportion[%],cumulative GP [%],Repeat Masker,Domain hits,Layout,All missing mates [%],Missing mates,Portion of similarity hits to other clusters[%],Outside reads with similarity [%],
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1hits, 0.00285%)",,,,,,
163,CL163,595934,7969,0.129,45.2,"LTR.Gypsy (583hits, 5.81%)",Ty3-RT Ty3/gypsy chromovirus (238 hits 2.99%),,35.6,7.44,1.30E+00,6.111
164,CL164,594266,7944,0.128,45.3,"LTR.Copia (811hits, 8.76%)",Ty1-GAG Ty1/copia TAR (207 hits 2.61%),,45.2,21.95,9.40E-02,0.642
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (169hits, 0.917%)",,,,,,
,,,,,,"Low_complexity (50hits, 0.307%)",,,,,,
,,,,,,"DNA.hAT.Ac (1hits, 0.0113%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00976%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00757%)",,,,,,
165,CL165,581124,7787,0.126,45.4,"Simple_repeat (121hits, 0.627%)",,,23.1,10.22,2.30E-02,0.1669
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (42hits, 0.274%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.0193%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00792%)",,,,,,
166,CL166,574596,7680,0.124,45.5,"Simple_repeat (148hits, 0.749%)",,,19.2,2.77,3.40E-01,2.643
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (2hits, 0.0158%)",,,,,,
167,CL167,574273,7678,0.124,45.7,"Simple_repeat (97hits, 0.6%)",,,44,10.2,2.00E-01,0.8856
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (11hits, 0.0658%)",,,,,,
168,CL168,572650,7673,0.124,45.8,"Satellite (2789hits, 30.6%)",,,1.4,0.55,8.10E-05,0.0261
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR (11hits, 0.108%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00297%)",,,,,,
169,CL169,569781,7616,0.123,45.9,"LTR.Copia (5549hits, 69.9%)",Ty1-RT Ty1/copia Angela (869 hits 11.4%),,17.1,9.2,2.60E-02,0.105
,,,,,,,Ty1-INT Ty1/copia Angela (624 hits 8.19%),,,,,
,,,,,,,Ty1-RH Ty1/copia Angela (306 hits 4.02%),,,,,
,,,,,,,Ty1-RT Ty1/copia Tork (83 hits 1.09%),,,,,
,,,,,,,"Ty1-RT Ty1/copia TAR (77 hits 1.01%)<="""" td="""">",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (38hits, 0.338%)",,,,,,
,,,,,,"Low_complexity (6hits, 0.0405%)",,,,,,
170,CL170,568901,7609,0.123,46,"LTR.Gypsy (3189hits, 37.8%)",Ty3-PROT Ty3/gypsy Athila (1209 hits 15.9%),,25.4,8.06,1.10E-01,0.4731
,,,,,,,Ty3-RT Ty3/gypsy Athila (129 hits 1.7%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (109hits, 1.21%)",,,,,,
,,,,,,"Simple_repeat (57hits, 0.31%)",,,,,,
,,,,,,"Low_complexity (3hits, 0.0204%)",,,,,,
171,CL171,561044,7511,0.121,46.1,"Simple_repeat (26hits, 0.123%)",Ty1-GAG Ty1/copia Angela (3 hits 0.0399%),,36.2,4.07,9.60E-01,4.607
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (3hits, 0.0337%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.0128%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00873%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00624%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00535%)",,,,,,
172,CL172,557092,7456,0.12,46.3,"Simple_repeat (20hits, 0.0939%)",DTA-CD1 NA NA (1 hits 0.0134%),,28,12.84,9.10E-03,0.1073
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.00808%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00556%)",,,,,,
173,CL173,547155,7346,0.119,46.4,"LTR.Gypsy (3791hits, 45.9%)",Ty3-RT Ty3/gypsy Ogre/Tat (3776 hits 51.4%),,23.4,9.76,1.20E-01,1.035
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (3 hits 0.0408%),,,,,
174,CL174,545345,7285,0.118,46.5,"Simple_repeat (104hits, 0.715%)",,,32.3,5.17,1.20E-02,1.016
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (5hits, 0.0447%)",,,,,,
,,,,,,"Unknown (2hits, 0.0123%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00623%)",,,,,,
175,CL175,539409,7210,0.116,46.6,"LTR.Gypsy (416hits, 4.3%)",,,35.2,14.41,1.70E-03,0.0139
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (63hits, 0.437%)",,,,,,
,,,,,,"LTR.Copia (35hits, 0.408%)",,,,,,
,,,,,,"Low_complexity (44hits, 0.338%)",,,,,,
176,CL176,528619,7090,0.114,46.7,"LTR.Gypsy (99hits, 0.985%)",Ty3-INT Ty3/gypsy Ogre/Tat (78 hits 1.1%),,25.8,7.53,7.90E-02,0.6065
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (31 hits 0.437%),,,,,
,,,,,,,DTN-CD2 NA NA (2 hits 0.0282%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (2hits, 0.00946%)",,,,,,
177,CL177,508784,6795,0.11,46.8,"Simple_repeat (120hits, 0.719%)",,,100,2.08,4.10E+00,43.58
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.0134%)",,,,,,
178,CL178,507509,6785,0.11,47,"LTR.Copia (3710hits, 50.5%)",Ty1-INT Ty1/copia TAR (669 hits 9.86%),,24.1,1.98,3.60E-01,4.215
,,,,,,,Ty1-PROT Ty1/copia TAR (185 hits 2.73%),,,,,
,,,,,,,Ty1-INT Ty1/copia Angela (25 hits 0.368%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (2 hits 0.0295%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (1hits, 0.00808%)",,,,,,
179,CL179,506800,6764,0.109,47.1,"Simple_repeat (202hits, 2.18%)",,,39.1,3.71,7.20E-01,6.165
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (221hits, 2.18%)",,,,,,
180,CL180,504870,6747,0.109,47.2,"Simple_repeat (147hits, 1.14%)",,,31.5,6.62,7.70E-02,1.097
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (74hits, 0.602%)",,,,,,
,,,,,,"LTR.Copia (57hits, 0.576%)",,,,,,
181,CL181,502048,6733,0.109,47.3,"Simple_repeat (337hits, 2.5%)",,,34,9.31,1.20E-01,1.144
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (10hits, 0.0811%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00657%)",,,,,,
182,CL182,501907,6731,0.109,47.4,"Simple_repeat (8hits, 0.0542%)",,,32.4,18.99,0.00E+00,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (4hits, 0.0315%)",,,,,,
183,CL183,503563,6723,0.109,47.5,"LTR.Gypsy (176hits, 2.06%)",,,30.8,14.35,7.10E-02,0.5057
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (129hits, 1.12%)",,,,,,
,,,,,,"Low_complexity (56hits, 0.517%)",,,,,,
184,CL184,500196,6691,0.108,47.6,"LTR.Gypsy (3785hits, 51.6%)",Ty3-INT Ty3/gypsy chromovirus (3579 hits 53.5%),,25.7,9.06,7.90E-01,3.916
,,,,,,,Ty3-CHDII Ty3/gypsy chromovirus (184 hits 2.75%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.0132%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.0114%)",,,,,,
185,CL185,497311,6647,0.107,47.7,"Simple_repeat (38hits, 0.299%)",,,40.8,16.11,4.80E-01,1.58
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (7hits, 0.0579%)",,,,,,
186,CL186,489235,6534,0.106,47.8,"Simple_repeat (104hits, 0.823%)",,,21.2,5.69,4.00E-03,0.153
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (76hits, 0.81%)",,,,,,
,,,,,,"Low_complexity (45hits, 0.385%)",,,,,,
187,CL187,486204,6489,0.105,47.9,"Simple_repeat (471hits, 4.28%)",,,41.2,21.28,1.70E-03,0.0308
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (210hits, 1.97%)",,,,,,
,,,,,,"LTR.Copia (166hits, 1.41%)",,,,,,
,,,,,,"LTR.Gypsy (66hits, 0.393%)",,,,,,
188,CL188,470614,6301,0.102,48,"Simple_repeat (114hits, 0.994%)",,,44.9,14.58,2.20E+00,5.65
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (6hits, 0.0712%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00807%)",,,,,,
189,CL189,467295,6254,0.101,48.1,"Simple_repeat (497hits, 4.16%)",,,61,28.43,1.50E-02,0.4317
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (5hits, 0.0454%)",,,,,,
,,,,,,"LTR.Copia (3hits, 0.0302%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.0107%)",,,,,,
190,CL190,466033,6248,0.101,48.2,"LTR (2788hits, 38.8%)",,,40.5,18.47,9.20E-04,0.112
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.hAT.Tip100 (12hits, 0.141%)",,,,,,
,,,,,,"Satellite (9hits, 0.126%)",,,,,,
,,,,,,"LTR.Gypsy (10hits, 0.115%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (2hits, 0.0236%)",,,,,,
191,CL191,463328,6201,0.1,48.3,"Simple_repeat (8hits, 0.0632%)",,,26.6,14.51,5.60E-03,0.0968
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (1hits, 0.0119%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00971%)",,,,,,
192,CL192,460868,6157,0.099,48.4,"LTR.Gypsy (4344hits, 64.9%)",Ty3-INT Ty3/gypsy Athila (2268 hits 36.8%),,10.5,2.65,3.90E-02,0.406
,,,,,,,Ty3-RH Ty3/gypsy Athila (826 hits 13.4%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy Athila (507 hits 8.23%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy Ogre/Tat (5 hits 0.0812%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (17hits, 0.159%)",,,,,,
,,,,,,"Low_complexity (10hits, 0.0731%)",,,,,,
193,CL193,459304,6143,0.099,48.5,"LTR.Copia (3067hits, 45.4%)",Ty1-RT Ty1/copia Angela (736 hits 12%),,9.5,3.44,3.60E-02,0.1302
,,,,,,,Ty1-INT Ty1/copia Angela (518 hits 8.43%),,,,,
,,,,,,,Ty1-RH Ty1/copia Angela (237 hits 3.86%),,,,,
,,,,,,,Ty1-RT Ty1/copia Tork (123 hits 2%),,,,,
,,,,,,,"Ty1-PROT Ty1/copia Angela (80 hits 1.3%)<="""" td="""">",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (73hits, 0.486%)",,,,,,
,,,,,,"Low_complexity (17hits, 0.135%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.0128%)",,,,,,
194,CL194,456381,6093,0.098,48.6,"Simple_repeat (349hits, 3.02%)",,,29.6,10.42,5.50E-02,0.5416
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (30hits, 0.278%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0129%)",,,,,,
195,CL195,453198,6061,0.098,48.7,"LTR.Gypsy (1178hits, 15.7%)",Ty3-GAG Ty3/gypsy Athila (1601 hits 26.4%),,27,9.77,1.90E-02,0.1155
,,,,,,,Ty3-GAG Ty3/gypsy Ogre/Tat (1 hits 0.0165%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (19hits, 0.16%)",,,,,,
,,,,,,"Low_complexity (6hits, 0.0538%)",,,,,,
,,,,,,"LTR.Copia (4hits, 0.0521%)",,,,,,
,,,,,,"DNA.hAT.Tag1 (1hits, 0.00662%)",,,,,,
196,CL196,449526,6027,0.097,48.8,"LTR.Gypsy (687hits, 9.98%)",Ty3-GAG Ty3/gypsy chromovirus (646 hits 10.7%),,17,6.55,1.50E-02,0.1991
,,,,,,,Ty3-INT Ty3/gypsy chromovirus (247 hits 4.1%),,,,,
,,,,,,,Ty3-CHDII Ty3/gypsy chromovirus (35 hits 0.581%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (2hits, 0.0174%)",,,,,,
197,CL197,435436,5820,0.094,48.9,"LTR.Copia (417hits, 5.64%)",,,64.2,35.95,2.70E-01,1.134
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (2hits, 0.0135%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00919%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00919%)",,,,,,
198,CL198,432108,5784,0.093,49,"Simple_repeat (18hits, 0.101%)",,,17.4,7.28,2.00E-02,0.3112
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (4hits, 0.0338%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00648%)",,,,,,
199,CL199,430967,5752,0.093,49.1,"Simple_repeat (107hits, 0.978%)",,,54.3,12.48,2.80E-01,4.503
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (43hits, 0.419%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.0107%)",,,,,,
200,CL200,428819,5731,0.092,49.2,"Simple_repeat (448hits, 3.41%)",,,47.7,20.92,1.00E-02,0.1221
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (115hits, 0.975%)",,,,,,
,,,,,,"LTR.Gypsy (52hits, 0.735%)",,,,,,
,,,,,,"DNA.MULE.MuDR (4hits, 0.0403%)",,,,,,
201,CL201,427922,5717,0.092,49.3,"DNA.CMC.EnSpm (983hits, 15.1%)",DTC-CD1 NA NA (1390 hits 24.3%),,12.8,3.67,5.60E-02,0.6297
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (90hits, 0.779%)",,,,,,
,,,,,,"Low_complexity (13hits, 0.153%)",,,,,,
,,,,,,"DNA.MULE.MuDR (14hits, 0.103%)",,,,,,
202,CL202,424825,5675,0.092,49.4,"LTR.Copia (176hits, 2.54%)",,,33.2,13.78,9.10E-03,0.0705
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (125hits, 1.85%)",,,,,,
,,,,,,"Simple_repeat (114hits, 0.894%)",,,,,,
,,,,,,"Low_complexity (42hits, 0.405%)",,,,,,
,,,,,,"DNA.hAT.Tip100 (1hits, 0.0141%)",,,,,,
203,CL203,423222,5668,0.091,49.5,"Simple_repeat (5hits, 0.0399%)",,,47.5,18.98,4.10E-02,0.1235
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.0116%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.0111%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00803%)",,,,,,
204,CL204,419799,5611,0.091,49.6,"Simple_repeat (11hits, 0.118%)",,,30.1,14.13,2.40E-02,0.1782
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0393%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.0217%)",,,,,,
,,,,,,"RC.Helitron (2hits, 0.0214%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.0129%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.0126%)",,,,,,
205,CL205,411859,5514,0.089,49.6,"LTR.Gypsy (2162hits, 35.7%)",Ty3-RT Ty3/gypsy chromovirus (1145 hits 20.8%),,18.7,8.98,4.00E-01,1.396
,,,,,,,Ty3-RH Ty3/gypsy chromovirus (151 hits 2.74%),,,,,
,,,,,,,Ty3-GAG Ty3/gypsy chromovirus (47 hits 0.852%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy chromovirus (4 hits 0.0725%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (18hits, 0.171%)",,,,,,
,,,,,,"LTR.Copia (12hits, 0.139%)",,,,,,
,,,,,,"Low_complexity (3hits, 0.0272%)",,,,,,
206,CL206,410056,5498,0.089,49.7,"LTR.Gypsy (7hits, 0.0841%)",,,46.7,15.93,9.30E-02,0.4729
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (1hits, 0.00878%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00756%)",,,,,,
207,CL207,398166,5341,0.086,49.8,"Simple_repeat (1hits, 0.00603%)",,,40.6,22.02,0.00E+00,0
208,CL208,397739,5312,0.086,49.9,"Simple_repeat (83hits, 0.764%)",,,44.2,19.48,2.30E-01,1.224
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (15hits, 0.148%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00955%)",,,,,,
209,CL209,397422,5310,0.086,50,"LTR.Gypsy (2668hits, 46%)",Ty3-RT Ty3/gypsy Athila (833 hits 15.7%),,11.8,2.19,8.30E-02,0.8851
,,,,,,,Ty3-PROT Ty3/gypsy Athila (428 hits 8.06%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy Ogre/Tat (4 hits 0.0753%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (3 hits 0.0565%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (1hits, 0.00579%)",,,,,,
210,CL210,391574,5240,0.085,50.1,"LTR.Gypsy (1625hits, 26.9%)",Ty3-GAG Ty3/gypsy Athila (496 hits 9.47%),,21.6,6.62,3.50E-02,0.1336
,,,,,,,Ty3-RT Ty3/gypsy Athila (398 hits 7.6%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Athila (313 hits 5.97%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Athila (37 hits 0.706%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy Ogre/Tat (4 hits ......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (28hits, 0.428%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.011%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00945%)",,,,,,
211,CL211,390556,5217,0.084,50.2,"Simple_repeat (158hits, 1.43%)",,,35.9,12.79,2.20E-01,7.131
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (53hits, 0.521%)",,,,,,
,,,,,,"LTR.Copia (23hits, 0.206%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00717%)",,,,,,
212,CL212,388516,5193,0.084,50.2,"LTR.Gypsy (347hits, 5.4%)",Ty3-GAG Ty3/gypsy Athila (501 hits 9.65%),,21,6.14,8.40E-02,0.597
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (244hits, 3.02%)",,,,,,
,,,,,,"Simple_repeat (226hits, 1.91%)",,,,,,
,,,,,,"Low_complexity (92hits, 0.906%)",,,,,,
213,CL213,388066,5187,0.084,50.3,"Simple_repeat (129hits, 1.63%)",,,43.9,20.38,3.30E-03,0.0771
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (38hits, 0.438%)",,,,,,
,,,,,,"LTR.Gypsy (31hits, 0.258%)",,,,,,
214,CL214,383466,5148,0.083,50.4,"LTR.Gypsy (1137hits, 17.5%)",Ty3-INT Ty3/gypsy Ogre/Tat (2824 hits 54.9%),,30.3,11.93,1.50E-01,0.9907
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (109 hits 2.12%),,,,,
,,,,,,,Ty1-INT Ty1/copia Maximus/SIRE (21 hits 0.408%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy chromovirus (15 hits 0.291%),,,,,
,,,,,,,Ty3-INT Ty3/g......,,,,,
215,CL215,384084,5147,0.083,50.5,"LTR.Copia (4hits, 0.0367%)",,,21.3,9.4,1.90E-02,0.0971
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (3hits, 0.0213%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00937%)",,,,,,
216,CL216,381486,5096,0.082,50.6,"Simple_repeat (222hits, 2.32%)",,,7.3,3.02,1.80E-04,0.0196
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (28hits, 0.353%)",,,,,,
,,,,,,"Low_complexity (3hits, 0.0336%)",,,,,,
217,CL217,378953,5060,0.082,50.7,"Simple_repeat (1807hits, 20.4%)",,,44.1,17.33,7.00E-02,0.9486
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (133hits, 1.66%)",,,,,,
218,CL218,377009,5059,0.082,50.7,"LTR.Gypsy (8hits, 0.0965%)",,,28.2,10.28,2.80E-02,0.1779
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.0138%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00477%)",,,,,,
219,CL219,364901,4893,0.079,50.8,"Simple_repeat (3hits, 0.0156%)",,,7.7,0.72,2.30E-02,0.3474
220,CL220,365161,4883,0.079,50.9,"Simple_repeat (362hits, 5.1%)",,,45.9,14.93,3.00E-01,2.621
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (30hits, 0.483%)",,,,,,
